# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Karskov
# Position (lat, lon, elev(m)): 37, 54, 0
# Local timezone: Europe/Copenhagen
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 7109
# SQM hardware identity: B003BNCX
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007109
# SQM readout test rx (Reading): r, 08.75m,0000029620Hz,0000000000c,0000000.000s, 022.8C
# SQM readout test cx (Calibration): c,00000019.93m,0000167.535s, 019.3C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): -1
# DL retrieved at (UTC): 2024-06-12T15:06:36.405
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-12T18:45:40.219;2024-06-12T20:45:40.219;;;;
2024-06-12T18:47:01.648;2024-06-12T20:47:01.648;;;;
2024-06-12T18:48:07.073;2024-06-12T20:48:07.073;;;;
2024-06-12T18:48:49.201;2024-06-12T20:48:49.201;;;;
2024-06-12T18:50:10.400;2024-06-12T20:50:10.400;;;;
2024-06-12T18:51:31.680;2024-06-12T20:51:31.680;;;;
2024-06-12T18:51:40.978;2024-06-12T20:51:40.978;;;;
2024-06-12T18:53:02.355;2024-06-12T20:53:02.355;;;;
2024-06-12T18:53:24.983;2024-06-12T20:53:24.983;;;;
2024-06-12T18:55:06.981;2024-06-12T20:55:06.981;;;;
2024-06-12T18:55:29.468;2024-06-12T20:55:29.468;;;;
2024-06-12T18:57:10.216;2024-06-12T20:57:10.216;;;;
2024-06-12T18:58:31.219;2024-06-12T20:58:31.219;;;;
2024-06-12T18:58:53.678;2024-06-12T20:58:53.678;;;;
2024-06-12T19:00:14.803;2024-06-12T21:00:14.803;;;;
2024-06-12T19:00:37.010;2024-06-12T21:00:37.010;;;;
2024-06-12T19:02:17.809;2024-06-12T21:02:17.809;;;;
2024-06-12T19:02:40.249;2024-06-12T21:02:40.249;;;;
2024-06-12T19:03:48.112;2024-06-12T21:03:48.112;;;;
2024-06-12T19:05:08.639;2024-06-12T21:05:08.639;;;;
2024-06-12T19:05:30.780;2024-06-12T21:05:30.780;;;;
2024-06-12T19:07:12.033;2024-06-12T21:07:12.033;;;;
2024-06-12T19:08:32.735;2024-06-12T21:08:32.735;;;;
2024-06-12T19:08:54.586;2024-06-12T21:08:54.586;;;;
2024-06-12T19:10:15.383;2024-06-12T21:10:15.383;;;;
2024-06-12T19:10:37.779;2024-06-12T21:10:37.779;;;;
2024-06-12T19:12:08.508;2024-06-12T21:12:08.508;;;;
2024-06-12T19:12:30.269;2024-06-12T21:12:30.269;;;;
2024-06-12T19:14:11.029;2024-06-12T21:14:11.029;;;;
2024-06-12T19:14:33.368;2024-06-12T21:14:33.368;;;;
2024-06-12T19:16:14.419;2024-06-12T21:16:14.419;;;;
2024-06-12T19:16:37.347;2024-06-12T21:16:37.347;;;;
2024-06-12T19:18:18.234;2024-06-12T21:18:18.234;;;;
2024-06-12T19:19:39.012;2024-06-12T21:19:39.012;;;;
2024-06-12T19:21:00.097;2024-06-12T21:21:00.097;;;;
2024-06-12T19:22:20.843;2024-06-12T21:22:20.843;;;;
2024-06-12T19:22:42.559;2024-06-12T21:22:42.559;;;;
2024-06-12T19:24:03.762;2024-06-12T21:24:03.762;;;;
2024-06-12T19:24:26.280;2024-06-12T21:24:26.280;;;;
2024-06-12T19:26:07.542;2024-06-12T21:26:07.542;;;;
2024-06-12T19:26:29.296;2024-06-12T21:26:29.296;;;;
2024-06-12T19:28:10.047;2024-06-12T21:28:10.047;;;;
2024-06-12T19:28:32.995;2024-06-12T21:28:32.995;;;;
2024-06-12T19:29:57.870;2024-06-12T21:29:57.870;;;;
2024-06-12T19:31:18.957;2024-06-12T21:31:18.957;;;;
2024-06-12T19:31:41.205;2024-06-12T21:31:41.205;;;;
2024-06-12T19:33:02.765;2024-06-12T21:33:02.765;;;;
2024-06-12T19:33:25.496;2024-06-12T21:33:25.496;;;;
2024-06-12T19:35:06.052;2024-06-12T21:35:06.052;;;;
2024-06-12T19:35:28.690;2024-06-12T21:35:28.690;;;;
2024-06-12T19:37:09.767;2024-06-12T21:37:09.767;;;;
2024-06-12T19:37:32.177;2024-06-12T21:37:32.177;;;;
2024-06-12T19:39:13.466;2024-06-12T21:39:13.466;;;;
2024-06-12T19:39:35.664;2024-06-12T21:39:35.664;;;;
2024-06-12T19:41:16.893;2024-06-12T21:41:16.893;;;;
2024-06-12T19:41:38.693;2024-06-12T21:41:38.693;;;;
2024-06-12T19:43:20.321;2024-06-12T21:43:20.321;;;;
2024-06-12T19:44:40.600;2024-06-12T21:44:40.600;;;;
2024-06-12T19:44:44.355;2024-06-12T21:44:44.355;;;;
2024-06-12T19:46:02.659;2024-06-12T21:46:02.659;;;;
