# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Karskov
# Position (lat, lon, elev(m)): 37, 54, 0
# Local timezone: Europe/Copenhagen
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 0
# SQM hardware identity: B003BNCX
# SQM firmware version: 0-0-0
# SQM cover offset value: 
# SQM readout test ix (Information): 
# SQM readout test rx (Reading): 
# SQM readout test cx (Calibration): 
# SQM readout test Ix (Report Interval): 
# DL time difference: ???
# DL retrieved at (UTC): 2024-06-12T22:02:06.634
# DL trigger seconds : 0
# DL trigger minutes : 0
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-13T01:51:52.037;2024-06-13T03:51:52.037;;;;
2024-06-13T01:53:12.821;2024-06-13T03:53:12.821;;;;
2024-06-13T01:54:14.382;2024-06-13T03:54:14.382;;;;
2024-06-13T01:55:35.093;2024-06-13T03:55:35.093;;;;
2024-06-13T01:56:36.653;2024-06-13T03:56:36.653;;;;
2024-06-13T01:57:38.012;2024-06-13T03:57:38.012;;;;
2024-06-13T01:58:59.045;2024-06-13T03:58:59.045;;;;
2024-06-13T02:00:19.339;2024-06-13T04:00:19.339;;;;
2024-06-13T02:01:40.121;2024-06-13T04:01:40.121;;;;
2024-06-13T02:03:00.840;2024-06-13T04:03:00.840;;;;
2024-06-13T02:04:01.986;2024-06-13T04:04:01.986;;;;
2024-06-13T02:05:22.646;2024-06-13T04:05:22.646;;;;
2024-06-13T02:06:23.369;2024-06-13T04:06:23.369;;;;
2024-06-13T02:07:24.607;2024-06-13T04:07:24.607;;;;
2024-06-13T02:08:25.482;2024-06-13T04:08:25.482;;;;
2024-06-13T02:09:08.056;2024-06-13T04:09:08.056;;;;
2024-06-13T02:10:29.060;2024-06-13T04:10:29.060;;;;
2024-06-13T02:11:49.759;2024-06-13T04:11:49.759;;;;
2024-06-13T02:12:50.973;2024-06-13T04:12:50.973;;;;
2024-06-13T02:13:52.273;2024-06-13T04:13:52.273;;;;
2024-06-13T02:14:53.441;2024-06-13T04:14:53.441;;;;
2024-06-13T02:16:14.096;2024-06-13T04:16:14.096;;;;
2024-06-13T02:17:16.836;2024-06-13T04:17:16.836;;;;
2024-06-13T02:18:17.858;2024-06-13T04:18:17.858;;;;
2024-06-13T02:19:19.375;2024-06-13T04:19:19.375;;;;
2024-06-13T02:20:20.517;2024-06-13T04:20:20.517;;;;
2024-06-13T02:21:21.499;2024-06-13T04:21:21.499;;;;
2024-06-13T02:22:22.113;2024-06-13T04:22:22.113;;;;
2024-06-13T02:23:23.249;2024-06-13T04:23:23.249;;;;
2024-06-13T02:24:24.474;2024-06-13T04:24:24.474;;;;
2024-06-13T02:25:25.778;2024-06-13T04:25:25.778;;;;
2024-06-13T02:26:26.505;2024-06-13T04:26:26.505;;;;
2024-06-13T02:27:27.680;2024-06-13T04:27:27.680;;;;
2024-06-13T02:28:28.573;2024-06-13T04:28:28.573;;;;
2024-06-13T02:29:29.553;2024-06-13T04:29:29.553;;;;
2024-06-13T02:30:26.521;2024-06-13T04:30:26.521;;;;
2024-06-13T02:31:27.806;2024-06-13T04:31:27.806;;;;
2024-06-13T02:32:28.457;2024-06-13T04:32:28.457;;;;
2024-06-13T02:33:29.208;2024-06-13T04:33:29.208;;;;
2024-06-13T02:34:30.419;2024-06-13T04:34:30.419;;;;
2024-06-13T02:35:51.194;2024-06-13T04:35:51.194;;;;
2024-06-13T02:37:12.350;2024-06-13T04:37:12.350;;;;
2024-06-13T02:38:13.827;2024-06-13T04:38:13.827;;;;
2024-06-13T02:39:15.135;2024-06-13T04:39:15.135;;;;
2024-06-13T02:40:16.369;2024-06-13T04:40:16.369;;;;
2024-06-13T02:41:17.782;2024-06-13T04:41:17.782;;;;
2024-06-13T02:42:19.017;2024-06-13T04:42:19.017;;;;
